,user_id,items
566,20784,Flat White 250 Ml - Hot Coffee
567,20783,South Indian Filter Kaapi - Hot Coffee
568,20782,Cappucino - Hot Coffee
569,20782,OAT MILK - Milk
570,20782,Sea Salt Dark Mocha - Hot Coffee
571,20781,Almond Honey Latte - Hot Coffee
572,20781,Kaapicino - Hot Coffee
573,20781,Papparoti - Sweet
574,C2288,Vietnamese - Cold Coffee
575,20780,Tartlets - Food Menu
576,20780,Tartlets - Food Menu
577,20779,Iced Americano - Cold Coffee
578,20779,Cafe Mocha - Hot Coffee
579,20779,Iced Mocha - Cold Coffee
580,20779,OAT MILK - Milk
581,20778,Cafe Latte - Hot Coffee
582,20778,Add On Syrup - Extra Toppings
583,20777,Kaapicino - Hot Coffee
584,20777,Vietnamese - Cold Coffee
585,20777,Calzones Veg - Food Menu
586,20777,Berliner Mix - Food Menu
587,20777,Berliner Mix - Food Menu
588,20777,Mix Tartlet - Food Menu
589,20777,Mix Tartlet - Food Menu
590,20777,Berliners - Food Menu
591,20776,Origanal South Indian Frappe - Cold Coffee
592,20776,Vietnamese - Cold Coffee
593,C2287,Origanal South Indian Frappe - Cold Coffee
594,20775,Cappucino - Hot Coffee
595,20775,South Indian Filter Kaapi - Hot Coffee
596,20775,Papparoti - Sweet
597,20775,Strawberry White Chocolate Ganache - SEASONAL MENU
598,20775,Rosella Jam - SEASONAL MENU
599,20774,South Indian Filter Kaapi - Hot Coffee
600,20773,Hyderabadi Chicken Keema Pav - Food Menu
601,20773,Mix Berliner - Food Menu
602,20773,Choco-crinkle-cookies - Sweet
603,20773,Madagascar Chocochip Frappe - Cold Coffee
604,20773,Calzones Veg - Food Menu
605,20772,Vietnamese - Cold Coffee
606,20772,Vanilla Praline - Cold Coffee
607,20772,Sea Salt Dark Mocha - Hot Coffee
608,20772,Chicken Calzone - Food Menu
609,20772,Calzone Mix - Food Menu
610,20771,Hyderabadi Chicken Keema Pav - Food Menu
611,20770,Hazelnut Frappe - Cold Coffee
612,20769,Iced Latte - Cold Coffee
613,20769,Origanal South Indian Frappe - Cold Coffee
614,20768,Iced Americano - Cold Coffee
615,20767,Origanal South Indian Frappe - Cold Coffee
616,20766,Chicken Calzone - Food Menu
617,20766,Baked Vada Pav - Food Menu
618,20766,Almond Honey Latte - Hot Coffee
619,20766,Berliners - Food Menu
620,20766,South Indian Filter Kaapi - Hot Coffee
621,20766,Cashew Nuts Nankhatai Veg - Sweet
622,C2286,Vietnamese - Cold Coffee
623,C2286,Irish Americano - Hot Coffee
624,C2285,Rosella Jam - SEASONAL MENU
625,C2285,Strawberry White Chocolate Ganache - SEASONAL MENU
626,C2284,Cappucino - Hot Coffee
627,C2284,Cafe Latte - Hot Coffee
